2026-07-10T00:54:12.644+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'webMvcObservationFilter'
2026-07-10T00:54:12.644+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.observation.web.servlet.WebMvcObservationAutoConfiguration'
2026-07-10T00:54:12.647+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'observationRegistry'
2026-07-10T00:54:12.647+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.observation.ObservationAutoConfiguration'
2026-07-10T00:54:12.653+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertiesObservationFilter'
2026-07-10T00:54:12.654+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'management.observations-org.springframework.boot.actuate.autoconfigure.observation.ObservationProperties'
2026-07-10T00:54:12.657+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'propertiesObservationFilter' via factory method to bean named 'management.observations-org.springframework.boot.actuate.autoconfigure.observation.ObservationProperties'
2026-07-10T00:54:12.660+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'metricsObservationHandlerGrouping'
2026-07-10T00:54:12.661+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.observation.ObservationAutoConfiguration$OnlyMetricsConfiguration'
2026-07-10T00:54:12.664+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'defaultMeterObservationHandler'
2026-07-10T00:54:12.664+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.observation.ObservationAutoConfiguration$MeterObservationHandlerConfiguration$OnlyMetricsMeterObservationHandlerConfiguration'
2026-07-10T00:54:12.665+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'simpleMeterRegistry'
2026-07-10T00:54:12.665+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.metrics.export.simple.SimpleMetricsExportAutoConfiguration'
2026-07-10T00:54:12.667+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'simpleConfig'
2026-07-10T00:54:12.667+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'management.simple.metrics.export-org.springframework.boot.actuate.autoconfigure.metrics.export.simple.SimpleProperties'
2026-07-10T00:54:12.669+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'simpleConfig' via factory method to bean named 'management.simple.metrics.export-org.springframework.boot.actuate.autoconfigure.metrics.export.simple.SimpleProperties'
2026-07-10T00:54:12.675+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'micrometerClock'
2026-07-10T00:54:12.675+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.metrics.MetricsAutoConfiguration'
2026-07-10T00:54:12.678+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'simpleMeterRegistry' via factory method to bean named 'simpleConfig'
2026-07-10T00:54:12.678+05:30 DEBUG 16596 --- [order-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'simpleMeterRegistry' via factory method to bean named 'micrometerClock'
